107.48 108.566 158.28 159.075 359.515 360.718 388.96 389.935 466.5 467.435 
117.06 118.242 205.2 206.231 332.121 333.232 420.24 421.293 529.4 530.461 
113.44 114.586 186.4 187.337 292.545 293.524 431.28 432.361 499 500 
132.48 133.818 219 220.101 298.97 299.97 409.68 410.707 489.6 490.581 
86.42 87.2929 176.08 176.965 285.758 286.713 411.12 412.15 557.4 558.517 
111.48 112.606 212.8 213.869 321.455 322.53 391.44 392.421 445.6 446.493 
108.92 110.02 168.56 169.407 288.242 289.206 399.36 400.361 505.1 506.112 
111.58 112.707 203.6 204.623 268.727 269.626 386.64 387.609 536.9 537.976 
98.52 99.5152 222.04 223.156 302 303.01 382.08 383.038 516.5 517.535 
99.56 100.566 214.2 215.276 259.212 260.079 409.36 410.386 493 493.988 
102.54 103.576 179.28 180.181 288.485 289.45 411.68 412.712 488.8 489.78 
90.8 91.7172 196.68 197.668 299.333 300.334 416.48 417.524 492.7 493.687 
85.1 85.9596 218.2 219.296 298.545 299.544 454.72 455.86 506.6 507.615 
103.14 104.182 170.92 171.779 291.636 292.612 440.8 441.905 472.2 473.146 
99.88 100.889 216 217.085 332.485 333.597 413.2 414.236 508.5 509.519 
92.24 93.1717 175.84 176.724 285.333 286.288 398.96 399.96 508.9 509.92 
111.02 112.141 199.6 200.603 299.636 300.638 423.52 424.581 456.1 457.014 
102.66 103.697 176.28 177.166 305.939 306.963 348.64 349.514 550.6 551.703 
100.66 101.677 217.2 218.291 295.333 296.321 401.84 402.847 528.5 529.559 
133.76 135.111 200.12 201.126 331.515 332.624 402.56 403.569 485.7 486.673 
116.42 117.596 199.72 200.724 298.727 299.726 355.68 356.571 480.5 481.463 
82.64 83.4747 184.04 184.965 328.061 329.158 400.4 401.404 497.4 498.397 
106.5 107.576 210.84 211.899 304.182 305.199 449.12 450.246 506.2 507.214 
126.96 128.242 203.32 204.342 357.758 358.954 432.8 433.885 499.2 500.2 
104.5 105.556 171.96 172.824 276.485 277.41 355.84 356.732 524.5 525.551 
93.88 94.8283 203.52 204.543 282.303 283.247 408.08 409.103 457.8 458.717 
75.16 75.9192 196.64 197.628 298.545 299.544 455.28 456.421 517.1 518.136 
91.36 92.2828 204.6 205.628 265.152 266.038 390.56 391.539 533.8 534.87 
81.12 81.9394 200.56 201.568 341.576 342.718 419.92 420.972 540.5 541.583 
115.36 116.525 178.32 179.216 273.636 274.552 372.16 373.093 520.5 521.543 
108.32 109.414 194.32 195.296 277.455 278.382 456.08 457.223 556.1 557.214 
85.56 86.4242 184.2 185.126 266.727 267.619 407.28 408.301 473.8 474.749 
73.42 74.1616 205.08 206.111 302.485 303.497 391.2 392.18 463.7 464.629 
85.78 86.6465 228.12 229.266 304.848 305.868 424.32 425.383 492.7 493.687 
91.38 92.303 192.72 193.688 297.879 298.875 421.6 422.657 527.9 528.958 
91.28 92.202 213.32 214.392 293.697 294.679 394.16 395.148 484.9 485.872 
112.88 114.02 204.88 205.91 300.788 301.794 389.68 390.657 517.9 518.938 
104.04 105.091 216.52 217.608 298.727 299.726 407.28 408.301 508.5 509.519 
