0.1 0.999644 0.0003556
0.129 0.999628 0.0003724
0.158 0.999622 0.0003784
0.187 0.999602 0.0003976
0.216 0.99957 0.0004296
0.245 0.99957 0.0004304
0.274 0.999568 0.000430297
0.303 0.999566 0.000431076
0.332 0.999516 0.000437597
0.361 0.99905 0.000746649
0.39 0.995788 0.0018448
0.419 0.989571 0.00263157
0.448 0.953126 0.0145067
0.477 0.918548 0.0236468
0.506 0.867197 0.0268852
0.535 0.840398 0.0268262
0.564 0.817284 0.0219381
0.593 0.671046 0.0438103
0.622 0.614949 0.033622
0.651 0.569041 0.0218348
0.68 0.498427 0.0226708
0.709 0.450938 0.0179435
0.738 0.394479 0.0138775
0.767 0.34118 0.013822
0.796 0.285863 0.0156097
0.825 0.25848 0.0143439
0.854 0.242227 0.0147461
0.883 0.223774 0.0106142
0.912 0.206108 0.00802412
0.941 0.187421 0.00877015
0.97 0.163043 0.010563
0.999 0.156201 0.00956859
1.028 0.141781 0.008603
1.057 0.129729 0.00780664
1.086 0.118305 0.00806698
1.115 0.110997 0.00817869
1.144 0.10394 0.00796886
1.173 0.096778 0.0073825
1.202 0.0925892 0.00741666
1.231 0.0849576 0.0074035
1.26 0.079708 0.0071405
1.289 0.0749476 0.0063255
1.318 0.0715808 0.00599637
1.347 0.0680168 0.00560794
1.376 0.0650244 0.00497907
1.405 0.0602148 0.00468723
1.434 0.0588348 0.00469113
1.463 0.055574 0.00458159
1.492 0.0537868 0.00436759
1.521 0.0501408 0.00421226
1.55 0.0467176 0.0041537
1.579 0.0462304 0.00410537
1.608 0.0441508 0.00381361
1.637 0.0420384 0.00367368
1.666 0.0402636 0.0035702
1.695 0.0383704 0.00340601
1.724 0.0367344 0.00333358
1.753 0.0350284 0.00307966
1.782 0.0341468 0.00289159
1.811 0.033416 0.00276694
1.84 0.0335256 0.00263493
1.869 0.0330024 0.00265014
1.898 0.0327808 0.00243496
1.927 0.0319532 0.00241241
1.956 0.0306424 0.00235633
1.985 0.0296392 0.0023623
2.014 0.0283836 0.00231244
2.043 0.027552 0.00231674
2.072 0.0263088 0.00227867
2.101 0.025404 0.00220584
2.13 0.0244164 0.00211885
2.159 0.0238236 0.00212553
2.188 0.0231916 0.00205993
2.217 0.0226664 0.00200851
2.246 0.022238 0.00200834
2.275 0.0213052 0.00202446
2.304 0.020542 0.00203345
2.333 0.0197252 0.00202292
2.362 0.0195092 0.00200594
2.391 0.0191436 0.00200614
2.42 0.0191672 0.00189518
2.449 0.018706 0.00183964
2.478 0.0188668 0.00170489
2.507 0.0187296 0.00166625
2.536 0.0183896 0.00178451
2.565 0.0179164 0.00174124
2.594 0.0178432 0.00169111
2.623 0.0176172 0.00178454
2.652 0.0172956 0.00184028
2.681 0.0168384 0.00175794
2.71 0.0164208 0.00174507
2.739 0.0160228 0.0016682
2.768 0.0156876 0.00166878
2.797 0.0155832 0.00163813
2.826 0.0153536 0.0016073
2.855 0.0152236 0.00161588
2.884 0.0149348 0.00164788
2.913 0.0146624 0.00160662
2.942 0.0145768 0.00153039
2.971 0.0142916 0.0015505
3 0.0138728 0.00157742
