100 1.13124 1.13124 0
200 1.14033 1.13579 0.00454559
300 1.11624 1.12927 0.0070252
400 1.13915 1.13174 0.00554765
500 1.15732 1.13685 0.00668108
600 1.161 1.14088 0.00677883
700 1.1221 1.1382 0.0063261
800 1.13708 1.13806 0.00548033
900 1.11438 1.13543 0.00550299
1000 1.14221 1.1361 0.00496856
1100 1.1476 1.13715 0.00461409
1200 1.15829 1.13891 0.00456578
1300 1.17342 1.14157 0.00496858
1400 1.14501 1.14181 0.00460658
1500 1.12562 1.14073 0.00442225
1600 1.15451 1.14159 0.00422531
1700 1.14141 1.14158 0.003969
1800 1.17252 1.1433 0.00411793
1900 1.15662 1.144 0.00395775
2000 1.14045 1.14382 0.00375884
2100 1.11806 1.1426 0.00377999
2200 1.1135 1.14128 0.00383913
2300 1.10236 1.13958 0.00403983
2400 1.13598 1.13943 0.00387077
2500 1.08807 1.13738 0.00424321
2600 1.12212 1.13679 0.00411877
2700 1.09082 1.13509 0.00431358
2800 1.1403 1.13527 0.00416083
2900 1.13555 1.13528 0.0040148
3000 1.1349 1.13527 0.00387869
3100 1.13644 1.13531 0.00375167
3200 1.11952 1.13482 0.00366588
3300 1.13144 1.13471 0.00355454
3400 1.16721 1.13567 0.00357843
3500 1.13551 1.13567 0.00347469
3600 1.14833 1.13602 0.00339506
3700 1.12298 1.13566 0.00332078
3800 1.14587 1.13593 0.00324335
3900 1.15034 1.1363 0.00318061
4000 1.15152 1.13668 0.00312335
4100 1.0982 1.13574 0.00318753
4200 1.10801 1.13508 0.00318003
4300 1.12754 1.13491 0.00311014
4400 1.11945 1.13456 0.00305887
4500 1.10388 1.13388 0.00306685
4600 1.12949 1.13378 0.00300095
4700 1.1442 1.134 0.00294477
4800 1.16277 1.1346 0.00294441
4900 1.10564 1.13401 0.00294363
5000 1.14033 1.13414 0.00288692
5100 1.16009 1.13465 0.00287515
5200 1.11485 1.13426 0.0028449
5300 1.06976 1.13305 0.00304455
5400 1.1593 1.13353 0.00302694
5500 1.13945 1.13364 0.00297334
5600 1.10329 1.1331 0.00296964
5700 1.1203 1.13288 0.00292571
5800 1.15161 1.1332 0.0028929
5900 1.12798 1.13311 0.00284482
6000 1.11827 1.13286 0.00280793
6100 1.14529 1.13307 0.00276902
6200 1.16017 1.1335 0.00275886
6300 1.10848 1.13311 0.00274361
6400 1.12257 1.13294 0.00270542
6500 1.12249 1.13278 0.00266832
6600 1.12507 1.13266 0.00263017
6700 1.13331 1.13267 0.00259064
6800 1.1136 1.13239 0.00256762
6900 1.1035 1.13197 0.00256454
7000 1.11839 1.13178 0.00253508
7100 1.1269 1.13171 0.00250007
7200 1.15255 1.132 0.00248203
7300 1.11753 1.1318 0.0024558
7400 1.15446 1.13211 0.00244166
7500 1.116 1.13189 0.00241844
7600 1.13913 1.13199 0.0023883
7700 1.12471 1.13189 0.00235898
7800 1.15827 1.13223 0.00235296
7900 1.0886 1.13168 0.00238776
8000 1.13176 1.13168 0.00235772
8100 1.13277 1.13169 0.00232847
8200 1.16863 1.13215 0.00234359
8300 1.12374 1.13204 0.00231739
8400 1.1344 1.13207 0.00228981
8500 1.10879 1.1318 0.00227923
8600 1.15857 1.13211 0.00227398
8700 1.13119 1.1321 0.00224772
8800 1.14388 1.13223 0.00222606
8900 1.1367 1.13228 0.00220147
9000 1.1469 1.13245 0.00218293
9100 1.15416 1.13268 0.00217196
9200 1.13047 1.13266 0.00214836
9300 1.14955 1.13284 0.00213288
9400 1.11406 1.13264 0.00211951
9500 1.15994 1.13293 0.00211668
9600 1.08775 1.13246 0.00214673
9700 1.13102 1.13244 0.00212453
9800 1.11476 1.13226 0.00211047
9900 1.13026 1.13224 0.00208914
10000 1.1525 1.13245 0.00207804
